Timestamp: 1734171094.157, ID: 0x60b, Data: 0b50241b80200176
Timestamp: 1734171094.157, ID: 0x60c, Data: 008ca53a8220c8
Timestamp: 1734171094.158, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171094.158, ID: 0x60c, Data: 0294e54a8220c8
Timestamp: 1734171094.158, ID: 0x60c, Data: 03a52b4d822068
Timestamp: 1734171094.158, ID: 0x60c, Data: 049ceb4c0220c8
Timestamp: 1734171094.158, ID: 0x60c, Data: 05a52b4d82204c
Timestamp: 1734171094.159, ID: 0x60c, Data: 068ca53a8220e8
Timestamp: 1734171094.159, ID: 0x60c, Data: 07a5274d822064
Timestamp: 1734171094.159, ID: 0x60c, Data: 088ca53a8220e8
Timestamp: 1734171094.159, ID: 0x60c, Data: 09ad2f4c022028
Timestamp: 1734171094.159, ID: 0x60c, Data: 0a9ce94b8220cc
Timestamp: 1734171094.160, ID: 0x60c, Data: 0ba5274d822064
Timestamp: 1734171094.160, ID: 0x60d, Data: 007d0fa170800a0c
Timestamp: 1734171094.160, ID: 0x60d, Data: 017c0fa170800c0c
Timestamp: 1734171094.160, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.160, ID: 0x60d, Data: 037d2fa070800505
Timestamp: 1734171094.160, ID: 0x60d, Data: 048fafa070800505
Timestamp: 1734171094.160, ID: 0x60d, Data: 057d0fa070800505
Timestamp: 1734171094.161, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.161, ID: 0x60d, Data: 077d0fa070800505
Timestamp: 1734171094.161, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.161, ID: 0x60d, Data: 097c2fa070800505
Timestamp: 1734171094.161, ID: 0x60d, Data: 0a7e8fa070800505
Timestamp: 1734171094.161, ID: 0x60d, Data: 0b7d0fa070800505
Timestamp: 1734171094.200, ID: 0x60a, Data: 0b3f3010
Timestamp: 1734171094.202, ID: 0x60b, Data: 004f7c0b80202172
Timestamp: 1734171094.203, ID: 0x60b, Data: 014e940780208188
Timestamp: 1734171094.204, ID: 0x60b, Data: 0250b417801fe173
Timestamp: 1734171094.205, ID: 0x60b, Data: 034fa41a80200175
Timestamp: 1734171094.206, ID: 0x60b, Data: 044e73f880e0016a
Timestamp: 1734171094.207, ID: 0x60b, Data: 05500c2680200179
Timestamp: 1734171094.207, ID: 0x60b, Data: 0651b427802021a9
